student_id,toan,ngu_van,ngoai_ngu,vat_ly,hoa_hoc,sinh_hoc,lich_su,dia_ly,gdcd
37006017,6.6,6,4.8,,,,,6.25,8
37004014,6.2,5.25,4,,,,8.25,8,8.25
37012017,6.6,7.25,3.6,,,,,7.75,8.25
37014016,4.8,6.75,5.4,,,,7,7.75,8.5
37008016,6.2,7.75,6,,,,7.25,7.25,8.25
37002018,8,7,8.4,8.5,9.5,8.25,,,
37010018,3,5.75,7.25,,,,7.75,5.6,8.5
37006018,7,4.75,4,,,,,7,8.25
37016016,7.6,7.25,7.2,8,5.5,6.5,,,
37012018,7.8,7.75,6.8,,,,,7,8.75
37004015,2.6,1.75,,,,,6.75,5.25,
37014017,6,7,4.2,,,,6.5,8,7.75
37002019,3.6,6,,,,,,6.25,
37008017,5,8,5.8,,,,6.5,6.5,7.75
37010019,5.2,5.75,7.25,,,,7.5,4.2,6.25
37006019,6.4,6,3.8,,,,,5.25,6.75
37012019,7,7.5,4,,,,,7.25,8.5
37016017,7.6,7.75,6.8,,,,,7.75,
37004016,5.8,5.25,4.6,,,,7.75,7.5,8.5
37014018,7.4,7,5.2,5.25,6.75,7.25,,,
37002020,3,6.5,,,,,,5.5,
37010020,5,5.75,7.25,,,,8,2.6,7
37008018,4.4,7.25,4.4,,,,7.5,7,8.25
37006020,6,6.5,2.6,,,,,8,8.75
37012020,6.6,7.5,5.6,,,,,8,8.75
37016018,6.6,7.25,7.4,8,5.75,6.5,,,
37004017,6.4,6.5,4.4,,,,6.25,6.75,9.25
37014019,8,8.5,7.8,,,,7.75,8.5,9.5
37002021,7,5,5,,,,,5.25,6.25
37010021,5.4,5.25,7,,,,8,3.4,7.5
37006021,7.4,7,4.2,5.25,6.5,6.75,,,
37008019,5.6,6.75,6,,,,5.75,6,8
37012021,7.4,8.25,4.8,,,,,7.25,9.5
37016019,7.8,7,7.4,8.5,5.5,6.5,,,
37004018,3.4,5.5,,,,,6.75,7.25,
37002022,7,8.25,5.8,,,,,7.5,7.25
37010022,6.4,6.75,,5.75,6,6.25,,5.4,
37014020,8.8,8,6,,,,8.25,9.25,9.25
37006022,6.6,7.5,4.2,,,,,7,7.5
37012022,6,8,5.8,7.25,6.75,5.25,,,
37008020,8,6.75,5.2,5.75,5.75,6,,,
37016020,6.8,9.25,7,,,,,7.25,
37004019,2.6,4.5,,,,,7.25,7.25,
37002023,8,5.5,,5.25,3.5,5.75,,,
37010023,7.4,7,7.75,,,,8.25,4.4,6.75
37006023,3.4,6.75,3,,,,,6.75,7.5
37014021,6.4,7.75,3.8,,,,6.25,8.25,8
37012023,5.4,6.5,4.4,4,5.25,6.25,,,
37008021,7.4,6.75,5.2,,,,6.25,8,9.5
37016021,4,6,5,,,,,5.75,
37002024,8.8,7.25,8.4,7.25,8.75,4.75,,,
37004020,7.2,7.5,5.2,,,,8,9,8.25
37010024,4.6,5.25,7,,,,8,3.2,8
37006024,6,6.5,3.8,,,,,7.5,8.75
37008210,7,2.5,4.8,5,7,3.5,,,
37016209,6.6,7.5,5.2,,,,,7.75,
37012221,6.4,8.25,5.4,,,,,7,8.25
37010222,8.4,6.75,8.75,,,,9,6.8,8
37006223,6.4,7.75,4.6,,,,,7.5,7.25
37014209,6.8,6,5.4,,,,5.75,6.5,7
37004204,8,6,6.4,,,,7.25,8.5,8.75
37002223,5,3.25,4.2,,,,,4.25,7
37008211,6.4,7.25,6.4,,,,4.5,6.5,6.5
37012222,4.8,5.75,2.8,,,,,6,7.75
37016210,5.8,6.75,5.6,,,,,7.75,
37010223,7.4,8,7.5,,,,7.25,6.8,6.25
37006224,6.8,7.75,,,,,,,
37014210,6,7,4.6,,,,7,6.75,9.5
37002224,7.6,5.75,6,9.25,8,5.25,,,
37004205,6.8,7,9,,,,9,8.5,9
37008212,3.6,5,4,,,,4.25,5.75,7.5
37012223,5.6,8,4,,,,,8.25,9
37016211,6,8,6,,,,,7.5,
37010224,8.8,6.5,,8,6.5,6.25,,7.2,
37006225,4.4,6.25,3.8,,,,,7.5,9.25
37014211,7.4,6.75,6.6,,,,6.5,5.75,8.5
37002225,7.6,7.25,4,6.75,8.25,6,,,
37004206,6.6,5.5,5.8,,,,7,7,8
37016444,3.6,5,,,,,,6.75,
37008213,7,5.75,3.8,,,,6.25,7,7.5
37012224,6,8,4,,,,,5.25,7
37016212,5,6.5,6,,,,,6,
37010225,7.4,6.5,,7,7.5,6.5,,8,
37006226,6.6,6.25,4.8,,,,,6.75,7.75
37014212,7.8,7.5,6.4,6.5,6.5,6.25,,,
37002226,6,8.25,6.8,,,,,5.75,8.25
37004207,4.8,7.5,2.4,,,,4,8,6.75
37008214,5.6,6.75,4.8,,,,5.5,5.75,7
37012225,6.6,6.25,4.8,,,,,6,7.5
37016213,3,4.25,4.4,,,,,7.25,
37010226,8.2,7.5,,7.75,6.25,6.5,,6.6,
37006227,7.6,7.75,5.4,6.75,6.5,7,,,
37002227,6.4,6,6.2,6.25,7.5,6,,,
37014213,8.4,7,6.2,7.5,6.5,5.5,,,
37004208,3.8,5.25,3.2,,,,3,3.5,6.5
37008215,7.8,7.5,6,,,,6.75,8.5,8.25
37012226,7.4,8.5,6.4,,,,,8,8.5
37016214,6.2,6.5,3.2,,,,,7.75,
37010227,8.8,8,,9,4.5,6.25,,8,
37006228,8.6,6.25,5.8,8,8.75,7.25,,,
37002228,7.4,6.75,5.8,6.75,7.5,6.25,,,
37014022,5.6,8,4.2,4.5,6,6.25,,,
37004021,3.8,5,,,,,5.75,8.5,
37014214,7.4,8,6.6,,,,6.25,7,8.75
37004209,7.2,7.5,4,,,,7.25,7.75,8.75
37008022,4.4,6.75,4.8,,,,4.5,8.25,8
37008216,6,5.75,5.6,,,,6,5.5,8
37012227,8.8,8,5.2,7.5,7.75,6.75,,,
37016022,7.2,7,4.6,,,,,7.25,
37014023,8,8,6.4,,,,6,7.75,9
37004022,6,6,4.6,,,,6.25,7.25,8.5
37010228,8.4,8.25,,8.75,6.75,7.25,,9.2,
37012024,5.4,7.25,3.2,4,5,4.75,,,
37016215,7.2,6.5,5,,,,,7,
37008023,6.6,7.25,6,,,,7.25,6.75,9
37006025,3.2,5.5,2.2,,,,,6,8.25
37016023,5.4,7.75,5,,,,,7.25,
37014024,6.4,8,4.8,,,,8,7.5,9
37010025,5,6.75,6.25,,,,7.25,3.8,7
37004023,7,6.75,4.6,,,,7.75,9.25,8
37012025,8.6,8.5,8.6,8.5,7.5,7,,,
37002025,7.2,7.75,7.2,,,,,7,7.75
37008024,5.6,7.5,4.2,,,,5.75,7.25,8.25
37006026,9,6.5,7.2,8.5,7,6.25,,,
37016024,7.4,7.5,6.4,8.5,6,8.25,,,
37010026,5.2,5.5,7,,,,8.25,5.2,6.25
37012026,6.4,7.25,4,,,,,7.75,8.25
37014025,4.4,6.5,4.2,,,,4.75,7.5,7.75
37004024,7.8,6.75,7.4,6.75,7,4.5,,,
37002026,7.6,8,8.8,,,,,8.25,9.5
37006027,6.4,5,3.8,,,,,7.5,8.25
37008025,6.4,6.25,5.8,,,,7.5,8.75,8.75
37016025,6.2,7.25,5.2,,,,,7.25,
37010027,3.2,6.5,5.5,,,,7.25,3.6,5.5
37012027,7.4,7.75,4.8,6.75,7.25,4.25,,,
37014026,5.8,7.75,5,,,,8.5,8.25,9.5
37004025,5.4,5,5.4,,,,7,6.5,8.75
37002027,7.6,7,6.4,,,,,8.5,8
37006028,5.4,8,3.8,,,,,6.25,8.75
37008026,5,6.5,4.2,,,,5.75,6.25,6
37016026,4.8,6.25,4,,,,,7.25,
37010028,5.4,6.25,6.75,,,,8.25,3.2,6.5
37012028,5.8,6.5,4.4,,,,,6.5,7.75
37014027,8.8,7.75,6.6,8,8.75,8,,,
37004026,7,7.75,6,,,,7.25,7.75,8.75
37002028,5.2,7,,,,,,6.5,
37006029,5.6,5.5,4.4,,,,,2.75,5.75
37008027,6.8,7.25,5.2,,,,8.5,10,9
37016027,6,4.5,5.4,,,,,5.75,
37010029,5.6,7.25,,3.5,5.25,3.75,,4.2,
37012029,6.8,7.25,5,,,,,7.75,9.5
37014028,7.2,7.25,4.6,,,,7.25,9.25,9.5
37004027,6.6,6.75,6.6,,,,6.75,8,7
37002029,6.4,6,8.2,7.75,6.25,6.5,,,
37006030,5.2,5,4.8,,,,,7.75,8.25
37008028,6.2,7.5,5.4,,,,6.75,7.25,9
37016028,6.8,7,4.8,,,,,8.5,
37010030,5.8,7.75,6,,,,8,4.2,8
37012030,8,8.5,7.6,7.5,7,6.25,,,
37014029,8,7.25,4.4,3.75,6.25,6.5,,,
37002030,7.6,6.5,8.6,8.5,5.25,5,,,
37004028,3.8,6.25,,,,,7,7.25,
37006031,5.8,6.5,4.6,,,,,7.75,8.25
37008029,1.4,4,,,,,3.75,5.5,
37016029,7,5,3,,,,,7.25,
37010031,5.2,5.75,5.75,,,,7,3.8,5.25
37012031,4.8,6.5,3.8,,,,,8.25,8.5
37014030,6,6.75,6,,,,7.5,7,8.75
37002031,7.2,7.75,6.6,,,,,7.5,7.5
37004029,4.6,5.5,5.4,,,,4,4,5.5
37006032,7,7.75,6.4,,,,,8.25,9
37008030,4.4,7.25,4.6,,,,5,6.5,8.75
37016030,6.8,5.75,6,,,,,7.75,
37010032,6,3.75,6.25,,,,7,3,6.75
37012032,7,7.5,4.6,6.25,6.75,4,,,
37002032,4.8,5.5,4.4,,,,,6,6.5
37014031,7.8,9,6.6,,,,7.75,8.75,8.75
37006033,6.4,6.25,6,,,,,7.75,9
37004030,5,5.5,5.8,,,,6.75,7.75,8.5
37008031,2.2,5.25,,,,,6,4.75,
37016031,5.2,7,,,,,,6.25,
37010033,6.6,6.75,7.25,,,,8,5.4,5
37012033,6.2,7.5,3.8,,,,,8.5,8.25
37002033,6.2,4.25,,,,,,6.5,
37014032,8.4,7.5,5.2,7.5,8.5,6.5,,,
37006034,6.6,7.5,7,4.5,7.5,6,,,
37004031,4.6,6.25,6.4,,,,6.25,7,8.75
37008032,6.8,8,4.6,,,,7.25,7.5,8.75
37016032,6.6,5.5,4.2,,,,,6.25,
37010034,4.2,,7.25,,,,,3,6
37012034,7.6,7,6.2,,,,,9,9.5
37002034,7.2,6.75,4.8,5.25,7.5,5.25,,,
37006035,7.4,7.25,6.8,,,,,7.5,7.5
37014033,8,7,4,7.25,6.5,5,,,
37004032,5.2,7.25,6.4,,,,7.75,7.75,7.5
37008033,7.4,7.25,4.4,,,,6.25,8.25,9.25
37016033,6.6,6.5,5.2,,,,,7.5,
37010035,6.4,6,7,,,,8.5,4.8,5.75
37012035,7,8.25,5,,,,,8.5,8
37002035,6.2,5.75,,,,,,6.5,
37006036,6.8,8,7,7.75,5,5.25,,,
37014034,5.8,5,4.4,,,,5.5,7.75,7.5
37004033,3.8,4.5,,,,,5.75,6.5,
37008034,5.4,7.5,3.4,,,,7.75,8.75,9
37010036,7,7,7.25,,,,9.5,5,8
37016034,8,5,4.4,,,,,7.25,
37012036,7.6,6.75,5.6,6.75,6.75,6.25,,,
37002036,6.4,5,,,,,,6.75,
37006037,7.6,8.5,5.4,,,,,9.5,9
37014035,5,7.25,3.8,,,,5.5,6.75,7.75
37004034,6.2,5.5,5.2,,,,4.5,7.5,7.25
37008035,7,6.75,4.8,4.75,6,5.25,,,
37010037,9,3.75,,5,7.75,8.5,,5.2,
37012037,8.2,8.5,7.2,7.75,8.25,6.5,,,
37016035,7,5.75,4.6,,,,,7,
37002037,8.8,5.25,9.4,4,9.5,8.75,,,
37006038,8,8.75,7.2,8,6.75,6.5,,,
37014036,6.2,7,5.2,,,,9,8.5,9.75
37004035,5.6,5,7,,,,5.25,7.25,7.5
37008036,6,5.75,,,,,6.75,6.75,
37010038,6,6,,4,6.5,6.5,,7,
37012038,7.8,7.5,5.8,,,,,6.25,7.75
37016036,5.4,6.5,4.2,,,,,5,
37002038,7,4.5,2.4,5.75,6,5.75,,,
37006039,8.2,5.25,6,9,8.25,7,,,
37014037,8,7.25,4.8,6,6.75,5.75,,,
37004036,7.8,6.75,7.8,,,,5.5,7.25,9
37008037,6.2,7.25,5.8,,,,5.5,6.5,8.25
37010039,6.8,5.75,7.5,,,,8,6,8.75
37012039,4,6.5,5,,,,,7.5,7.5
37016037,6,6,4.6,,,,,7,
37002039,6.6,6,,,,,,5.25,6.75
37006040,4.6,5.25,5.6,,,,,7.25,7.5
37014038,7.6,7,5.6,5.75,7.25,6.5,,,
37004037,4.6,4.25,,,,,5.25,6.75,
37008038,6.2,5,4.8,,,,5.5,7.75,6.75
37010040,7.8,6.5,8,,,,8.75,7.4,7.5
37012040,6,7,5,,,,,6,7.5
37016038,4.4,3.5,4,,,,,5.75,
37002040,6.6,5.75,6,4.25,7,7.25,,,
37006041,6.8,7.5,8.6,7.5,7,6,,,
37014039,7,7,7.4,,,,7,8.5,8.25
37004038,3.8,6.25,6,,,,5.75,7.25,8.5
37008039,5.8,5.75,5.2,,,,4.75,7.75,7.5
37010041,8.4,8.25,8.25,,,,9.25,8.4,8.5
37012041,8.6,5.75,6.4,8.25,5.5,6,,,
37016039,4.8,7,,,,,,5.5,
37002041,7.4,7.25,5.6,6.25,2.75,4,,,
37006042,6.8,7.5,7.4,,,,,7.25,8.5
37014040,7.8,7,5,5.25,5.75,7.75,,,
37008040,6.8,6.5,4.4,,,,6.75,7,8.25
37004039,4.2,6.25,5.2,,,,5,5.75,7
37010042,7.4,6.25,,8,4.75,6,,8,
37012042,7,7.5,4.4,7,4.5,5.25,,,
37016040,7,7,5.4,,,,,6.25,
37002042,3.6,6.25,,,,,,5.75,
37006043,5.2,6.25,5,,,,,7,9
37014041,5.4,8.25,6.4,,,,7,9.25,10
37010043,8,6.25,,8.25,4.75,5.25,,9,
37012043,6,6.5,5.4,,,,,7.75,8.25
37016041,5,3.75,3.4,,,,,6.75,
37002043,5.8,6.75,,,,,,6.75,
37004040,6.2,7,4.6,,,,8.25,8.5,9
37006044,4.2,7.5,3.4,,,,,7.25,8.25
37014042,5,6.5,3.8,,,,7.25,7,8
37010044,8.4,7.5,,6,5.5,6.75,,9.2,
37008042,5.6,4.5,3,,,,4.75,6.75,3.75
37012044,6.8,5.75,7.2,,,,,8,8
37002044,7.6,8,8.6,8.5,6.25,6.75,,,
37016042,5,6.25,3.6,,,,,7.25,
37006045,7.4,8,4.4,4.5,4.25,6,,,
37004041,5.8,8,6,,,,6.5,6.75,
37010045,8.2,6,,7.75,5.75,7,,7.4,
37012045,6.4,7,3.8,,,,,6.25,8
37002045,8,8,4.2,,,,,8.25,8.75
37014043,6,7.75,3.6,,,,6.25,5.75,7.25
37008043,7.6,6,5,,,,8.25,8.5,9
37016043,4.8,6.5,,,,,,5.25,
37006046,7.2,8,5.8,,,,,6.5,8.5
37010046,7.8,7.5,,8.5,3,5,,8.6,
37004042,7.2,7.75,4,,,,7,7.25,8
37012046,7.2,7.25,6.2,,,,,8.25,9.25
37002046,4,6.25,,,,,,7,
37014044,5.8,8.5,5.2,,,,6.25,7.5,9
37008044,6,5.75,4.6,,,,7.5,8,8.25
37006047,3.6,7,4.8,,,,,7,8.75
37016044,5.8,7,4,,,,,7.25,
37010047,8.6,8,,7,7.5,6.75,,7.8,
37012047,5,7,3.8,,,,,7,8.5
37004043,5,3.25,3.6,,,,4.75,6.75,5.5
37002047,8.4,7.5,8,8.25,4.75,4.25,,,
37008045,7,5.75,4.2,,,,7,6,8
37014045,8,7.5,5.4,4.25,3.75,6.75,,,
37006048,8,7.5,6,8.5,8,6.25,,,
37016045,2.2,3.75,4.2,,,,,3.75,
37010048,8,9.25,8,,,,7.75,7.8,7.75
37012048,8,6,6.8,8.5,8.25,6.5,,,
37004044,6,6,6.8,,,,6.5,7.5,8.75
37002048,6,7,4.4,,,,,6.25,7.25
37008046,3.2,4,,,,,5.25,5.5,
37006049,7.2,7,5.4,7,7.25,5.75,,,
37014046,4,5.5,4.4,3.75,3.75,7.5,,,
37016046,4.2,5.75,4.2,,,,,7.25,
37010049,7.4,6.25,7.25,,,,8.5,6.4,7.5
37012049,3.2,6.5,3,,,,,7.75,7.75
37002049,8.2,8.25,6.6,,,,,8,9.5
37004045,6.6,6.25,,,,,7,9,
37006050,5.4,5.5,4.6,,,,,6,7.25
37008047,5.6,6.25,4.4,,,,6.25,7.5,8.25
37014047,3.4,6.5,3.6,,,,5.5,6.25,7
37016047,6,6.25,5.6,,,,,7,
37010050,7.6,6,,6,6,5.5,,8.2,
37012050,8.6,6,6.2,7,8.25,6,,,
37002050,8,8,8.2,8.25,6.25,6.25,,,
37004046,6.8,7,6,,,,5,7.25,8
37006051,5.2,8,4,,,,,8.25,8.75
37008048,2.8,7.25,,,,,5,4,
37014048,6.6,8,8.8,,,,9.5,8.25,8.75
37016048,6,5,3,,,,,7,
37010051,8,8,,6,5,7,,8,
37012051,7.6,6,6,8.5,7.25,5,,,
37002051,7.4,9,7.8,,,,,6.75,7.5
37004047,5,4.25,4.8,,,,6.75,5.5,7
37006052,6.2,6.5,3.8,,,,,6.5,7.75
37008049,5.4,6.75,4.8,,,,5.75,8,9
37014049,6.8,7,5,5.75,6.75,8.25,,,
37016049,4.6,6,4,,,,,6.5,
37010052,8.2,7.75,,9,9,6.75,,7.6,
37012052,6.6,7.25,4.8,,,,,8.25,9.25
37002052,8.4,9,8.4,,,,,8.25,8.5
37006053,8,6.5,6.2,7.5,8.25,7.25,,,
37004048,3.2,3,,,,,5.75,7,
37008050,7.6,5.75,4.6,8,9,6.75,,,
37014050,7.8,7.25,6,7.25,8,7.75,,,
37016050,6.4,7,5,,,,,7,
37010053,6.8,6.75,7,,,,7.75,7.2,6.25
37012053,7.4,6.75,5.4,8,7,5.75,,,
37002053,7.6,8,7.8,,,,,8.5,9.5
37006054,7.8,7.75,7.4,8,7.75,7.75,,,
37004049,7.4,7.25,5.8,,,,9,9,9.25
37008051,6.6,7,3.6,,,,7.75,7.25,8.5
37014051,7.4,7.75,5,,,,8.75,9.75,9
37016051,5.2,7.25,5.4,,,,,8,
37010054,7.6,5.5,,8.25,7.25,7.75,,4.8,
37012054,4.4,6.75,3.4,,,,,8.25,8
37002054,6.2,7,6.2,,,,,7.75,9.25
37006055,8.6,6,4.2,7.75,8.75,4.25,,,
37008052,5.8,6.75,4,,,,4.75,7.25,8
37004050,7.4,4.75,6.4,,,,6.5,8.25,7.75
37014052,8.2,8.5,6.6,5.25,7,6.5,,,
37016052,5.8,6.5,4.6,,,,,6.25,
37010055,8,8,,7,5.5,6.75,,5,
37012055,6.6,7.5,4.8,,,,,8.5,7.25
37002055,7.8,8,8.6,4.25,8.75,6,,,
37006056,7.4,5.25,4.6,7.25,5.75,7,,,
37008053,3.2,4.5,,,,,3.25,6.25,
37004051,6.8,6.5,4.8,,,,8,7.5,6.75
37014053,7,7.25,5,6,5.5,6.25,,,
37016053,2.6,4.5,,,,,,5,
37010056,6.6,7.75,8.5,,,,9,7.4,7.75
37012056,7.8,7,8.6,8.5,4.5,6.5,,,
37002056,7.8,8.25,9.4,,,,,7,8
37006057,3.2,6.5,5,,,,,8.25,8.5
37008054,4.4,6.5,,,,,6.5,6,
37004052,6.6,4.75,,,,,6,6.5,
37014054,4.2,7.25,3,,,,5,4.5,5.5
37016054,6.2,6,4.8,,,,,7.5,
37010057,7.6,7,,8.75,5.5,6.75,,5.4,
37012057,2.2,5.5,5.2,,,,,7,7
37002057,8,7.25,8.8,5.25,8,6.25,,,
37006058,8.4,4.5,4.6,8.5,9.25,5.25,,,
37008055,4.4,5.25,3.4,,,,5.75,6.5,7.75
37004053,8.2,7.25,4,,,,7.5,8.75,9.75
37014055,3.6,7.5,4.8,,,,5.5,4.75,7.5
37016055,6,6.25,4.6,,,,,5.5,
37010058,9,8,,9,6.5,8,,8.6,
37012058,5.8,7.25,3.8,5,3,5.25,,,
37002058,7.4,8.5,9.2,,,,,7,9
37006059,7,5.75,4.2,,,,,6.75,9
37008056,5.4,6.75,3.8,,,,4.75,6.25,8.25
37004054,6.4,6.5,4.8,,,,8.5,6.5,7.75
37014056,6.2,8,6.2,,,,7.75,7.75,8
37010059,8.4,6.75,,4.25,8,8,,6.4,
37016056,7,5.5,5.4,,,,,5.75,
37012059,8.2,8,7.8,,,,,7.5,8
37002059,8.6,7.5,8.8,8.25,7,6.5,,,
37006060,3.8,5,4,,,,,7,7.75
37008057,5.8,7.5,,,,,4.5,6.25,
37004055,5.8,3.25,4,,,,5.5,6.75,
37010060,7.8,6.5,,4.5,4.5,5.5,,6,
37014057,4.8,5.75,4.4,,,,7.25,8.25,7.75
37016057,6.6,7.25,5,,,,,7.75,
37012060,8,8,8,,,,,8,9.25
37002060,8,5.25,6.2,8,8.25,5.5,,,
37006061,6,7.25,6.8,7.5,5.5,6.75,,,
37008058,5.6,6.5,5,,,,5.75,6.25,7
37010061,7.2,6.5,7.75,,,,8,5.8,7
37004056,7.2,6.75,4.8,,,,8,8.5,9.25
37014058,4,6.75,5.2,,,,4.25,6.75,7.75
37016058,6.2,5,5.6,,,,,6.25,
37012061,4.4,7,4.4,,,,,4.75,6
37002061,8,7.75,8.4,,,,,9.5,9.5
